"","abundance_assay1","abundance_assay2","abundance_assay3","abundance_assay4","abundance_assay5","abundance_assay6","abundance_assay7","abundance_assay8","abundance_assay9","abundance_assay10","abundance_assay11","abundance_assay12","abundance_assay13","abundance_assay14","abundance_assay15"
"Label","mouse liver 1","mouse liver 1","mouse liver 1","mouse liver 1","mouse liver 1","mouse liver 2","mouse liver 2","mouse liver 2","mouse liver 2","mouse liver 2","mouse liver 3","mouse liver 3","mouse liver 3","mouse liver 3","mouse liver 3"
"P-PE 40:3_29","40566.61376953125",NA,"29256.0263671875",NA,NA,"79006.8818359375","90609.236328125",NA,"90459.58984375","68702.109375","164244.484375","141007.3974609375","121735.9765625","100962.392578125",NA
"P-PE P-18:0/22:4_30","707522.6434584574","483878.3700210962","404519.4836866651","433329.03674014885","326038.37306031014","1190430.5671592902","1009055.6306454259","939825.7094621976","842886.5784364409","744787.7235904273","1428784.169511116","1312436.1136931353","1199366.9088043345","1087290.7447355008","1028322.0965999449"
"P-PE P-20:0/20:4_31","490306.7315415425","275385.09091640386","283117.44795396","337456.78552547615","330554.9355334399","578265.3469032097","387339.8459170741","397451.8217878024","396734.8825010591","356830.6435970728","577434.017988884","501224.4331818647","463743.01307066565","526245.2474519992","386070.6455875552"
"P-PE P-18:1/22:4_32","550328.3205799649","491363.87729497254","397974.99451948813","453626.9206658585","389201.86740028276","1272946.9824518391","1695793.3125","1356998.90625","917803.8312064441","828686.6879412356","1218715.0778957908","1071730.789887506","1051428.71996435","965823.2728494145","874223.5973027108"
"P-PE P-18:0/22:5_33","344027.27317003516","272783.8883300274","238080.52110551187","210379.2199591415","169994.10134971724","545336.2050481607",NA,NA,"353279.04379355593","270543.53080876445","507538.1408542093","392025.39761249407","450291.90503564995","359145.4771505854","346234.9026972893"
"P-PE 40:5_34","95815.015625","91178.796875","105641.419921875",NA,NA,NA,NA,NA,"184903.0390625","153635.771484375",NA,NA,NA,NA,NA
"P-PE P-18:0/22:5_35",NA,NA,NA,NA,NA,"279496.6640625","162202.09765625","221212.921875",NA,NA,"407675.75","393085.1328125","351551.9296875","254087.0546875","285229.3984375"
"P-PE P-18:0/22:6_36","1897347.53125","1502789.4375","1256406.03125","1161173.625","1192372.5","1756546.4096966467","2099206.75","1883227.90625","1628050.8125","1213562.7364869115","2421951.4375","1752152.3354297616","1729580.3610507909","1475816.1171816566","1734466.28125"
"P-PE P-22:6/18:0_37",NA,NA,NA,NA,NA,"523402.90280335344",NA,NA,NA,"344302.98226308817",NA,"512965.03957023856","404843.0139492091","361855.0078183434",NA
"P-PE 40:7_38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1004456.0625","1011441.0","916909.796875","815120.921875","1166351.375"
"P-PE P-18:1/22:6_39","801560.203125","710618.40625","496580.1875","598268.90625","511269.234375","949273.140625","1167038.28125","962847.46875","753596.28125","818217.8125",NA,NA,NA,NA,NA
"P-PE 41:8_40",NA,NA,NA,"25768.9912109375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P-PE 42:5_41","193383.986328125","116449.87109375","137527.1484375","68120.294921875",NA,"264700.017578125",NA,"299885.65625","163682.20703125","139064.328125",NA,"207596.369140625","380959.59375","283896.8984375","248658.328125"
"P-PE 20:4_P-22:1_42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"306523.748046875",NA,NA,NA,NA
"P-PE 42:6_43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"55284.5234375",NA,NA,NA,NA
"P-PE P-20:0/22:6_44","316533.46875","283115.31640625","265466.84375","206754.5","231337.53125","340646.1875","310039.9296875","255829.1875","153524.2623636405","230352.984375","274382.7116257587","349316.9765625","292134.359375","243353.5477012918","257541.9609375"
"P-PE P-24:6/18:0_45",NA,NA,NA,NA,NA,NA,NA,NA,"55050.651698859496",NA,"78493.03837424131",NA,NA,"49838.881986208195",NA
"P-PE 44:7_46",NA,"33750.1748046875",NA,"42924.7451171875","30892.564453125","83039.33984375",NA,NA,NA,NA,"64679.9140625",NA,NA,NA,"54011.326171875"
"P-PE 45:10_47","126233.9296875",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P-PE 45:11_48","88800.8857421875","79319.419921875",NA,"48583.158203125",NA,"172046.8203125","131372.75",NA,NA,NA,NA,"83653.509765625","83728.427734375",NA,"70142.619140625"
"PG 24:4_49",NA,NA,NA,NA,NA,NA,NA,"99354.208984375","103624.732421875","91800.966796875","123507.3046875","80315.6298828125","112075.20166015625","96211.951171875","84208.2021484375"
"PG 32:0_50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"52352.6875",NA,"77960.91259765625",NA,NA
"PG 32:1_51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"106775.12109375","58485.12255859375","95791.95703125","75917.4375","83560.189453125"
"PG 16:0/18:1_52","3526700.3671875","3036957.703125","2932192.4453125","2794114.8984375","2633380.6875","7450214.875","6701867.9375","6312472.03125","5724524.578125","5205983.671875","8631311.125","8441200.96875","8113070.5625","7622945.71875","7153608.21875"
"PG 34:2_53",NA,NA,NA,NA,NA,NA,"68668.77734375","59377.267578125",NA,NA,NA,"87226.474609375","88870.73828125",NA,NA
"PG 16:0/18:2_54","1336657.21484375","1155321.046875","1014675.69140625","901687.83984375","921734.6005859375","2708435.078125","2460910.609375","2218106.7734375","1825327.23828125","1755814.0546875","2676862.390625","2424509.3828125","2357640.296875","2117156.60546875","1888306.51171875"
"PG 35:1_55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"56120.7197265625",NA
