name,id
C06611,126331
C00353,126484
C11901,127621
C00123,125814
C16328,126712
G00146,126697
C03089,126799
C00099,125728
C09107,124106
C05421,126169
C00859,124096
C05747,126060
C00504,126457
C02222,126191
C05488,126133
C01080,127231
C00093,125833
C06104,126266
C00365,126822
C15700,126316
C04006,126892
C06711,126827
G00097,125913
C02730,126419
C11427,126235
C00065,127394
C06082,127286
C00534,126447
C15886,127647
C00805,126220
C00003,127675
C01273,126574
C03741,126414
C16519,126417
C01514,127307
C04832,127238
C20258,127479
C04442,127399
C00094,126924
C06506,126408
C00634,124055
G00057,125906
C05635,126430
C00051,125817
C02528,126920
C01226,126018
C08060,126581
C05751,126055
C06714,126254
C06322,126251
C01236,126510
C00020,125716
C00063,125723
C05179,126377
C05433,126177
C20951,127745
C03344,126674
C00199,127712
C14899,127459
C19929,127381
C07712,127385
C15547,126421
C20784,127596
C15895,127663
C06640,124093
C00783,126303
C15902,127662
C00880,127530
G13040,127180
C03239,124080
C04672,126017
C06204,126226
C13632,124081
C00363,126476
C06791,126278
C05752,126054
C01943,126143
C03939,126067
C00903,126162
C14771,126153
C00679,127201
C05258,126024
C00512,126193
G00030,124165
C00631,127128
C15975,126744
C00882,126397
C01081,127589
C05818,126424
C15874,127650
C01172,127575
C06071,124073
C03684,126818
C01220,126883
C04454,127367
G00001,125939
C00203,127521
C04302,126366
C15545,124138
C06041,127703
C15810,127603
C00062,127734
C07083,126758
C00132,125762
C05557,126754
C14749,125998
G00004,125942
C00346,125967
C16474,126187
C04722,126113
C00956,127548
C01118,126320
C00026,127259
C06163,126386
C05773,127124
C00232,125778
C05271,126035
C00395,126756
C11900,126184
C00762,126135
C04488,127229
C05356,126000
C05807,126976
C02004,126989
C05594,126361
C19759,127430
G00155,126690
C11538,127114
G00028,125880
C04377,127232
G13045,126706
C06423,127682
C01279,127591
C03069,126324
C16339,126715
C00114,127457
C12248,126466
G00058,125907
C02637,126749
C03794,126736
C05262,126028
C20897,127706
C16186,127458
C01571,127683
C07215,126603
G00110,125919
C01077,126774
C18231,127384
C05274,126653
C00692,126647
C05123,127140
C11638,126817
C05619,127324
C09244,124107
C03434,126217
C20527,127607
C04308,125971
C19888,126639
C05952,124099
C08491,124143
C01103,126463
C06507,126409
C00680,127711
C01673,126081
C09816,126256
C00683,126641
C06729,126576
C05841,127681
C00257,127699
C01102,126737
C00085,125757
C07085,126596
C04691,126671
C00009,125777
C01284,126886
C12204,127336
C07209,126200
C12834,126631
C20375,127474
C08601,126179
C04002,127380
C00479,127440
C02739,126723
C02527,126497
C16358,126436
C15809,127598
C04556,127587
C06231,126806
C17559,126979
C00036,127248
C00846,126192
C06599,126633
C00338,125955
C06561,127301
C04376,127035
C00136,125733
C20680,127519
C15794,126562
C05276,126032
C00149,127258
C00024,127062
C15804,127306
C01286,127452
C20377,127464
C00389,127353
C00449,126778
C01179,126544
C00438,126472
C00993,127207
C00185,127376
C14782,126005
C03516,126403
C20239,124054
G00121,124161
C16482,126185
C05202,126374
C05174,126384
C06364,127704
G00078,124162
C00777,127290
C02378,124129
C06161,127425
C07087,126597
C04390,127564
G00002,125940
C01092,126795
C01697,127449
C06426,126014
C03594,126106
C00385,126512
G00016,125864
C00545,127204
C05892,125957
C05744,126065
C00144,125708
G00043,125893
C02591,126734
C20530,127609
C03912,127722
C00262,125836
C04844,127404
C00440,126458
C05447,126127
C07335,126816
C17551,126977
C17268,124063
C07733,126241
G00036,125886
